sentence,shannon,huffmann
"It was the White Rabbit, trotting slowly back again and looking",4.068472885586726,4.8636365
"anxiously about as it went, as if it had lost something; Alice heard it",4.054074397956868,5.0833335
moment that it was looking for the fan and the pair of white kid-gloves,3.9687501516168187,4.7
"and she very good-naturedly began hunting about for them, but they were",4.062525805526825,4.9545455
nowhere to be seen--everything seemed to have changed since her swim in,3.8294542364191764,4.5789475
"the pool, and the great hall, with the glass table and the little door,",3.692460707242678,4.5882354
had vanished completely.,3.9701755214643457,4.352941
"Very soon the Rabbit noticed Alice, and called to her, in an angry tone,",3.947535498959417,4.65
"""He took me for his housemaid!"" said Alice, as she ran off. ""How,4.124792680182112,5.0
surprised he'll be when he finds out who I am!"" As she said this, she",4.001845828955323,5.125
"came upon a neat little house, on the door of which was a bright brass",3.9661958334126632,4.7619047
"plate with the name ""W. RABBIT"" engraved upon it. She went in without",4.2035688858184,5.1153846
"knocking and hurried upstairs, in great fear lest she should meet the",3.9868948302180587,4.75
real Mary Ann and be turned out of the house before she had found the,3.711189632904819,4.470588
fan and gloves.,3.506890595608518,3.6666667
"By this time, Alice had found her way into a tidy little room with a",3.927601071778231,4.7619047
"table in the window, and on it a fan and two or three pairs of tiny",3.696561774748087,4.611111
white kid-gloves; she took up the fan and a pair of the gloves and was,4.012185561253715,4.714286
"just going to leave the room, when her eyes fell upon a little bottle",3.88380261979133,5.0
that stood near the looking-glass. She uncorked it and put it to her,3.952778789837523,4.8
"Before she had drunk half the bottle, she found her head pressing",3.8991525086713525,4.85
"against the ceiling, and had to stoop to save her neck from being",3.9726362835327866,4.8095236
"broken. She hastily put down the bottle, remarking, ""That's quite,4.36905978252802,5.148148
enough--I hope I sha'n't grow any more.""",4.077567157116928,4.75
Alas! It was too late to wish that! She went on growing and growing and,3.810127839796496,4.611111
"very soon she had to kneel down on the floor. Still she went on growing,",3.872703816205032,4.952381
"and, as a last resource, she put one arm out of the window and one foot",3.7961294800941796,4.736842
[Illustration],3.521640636343319,3.75
"Luckily for Alice, the little magic bottle had now had its full effect",4.076331632620473,5.0833335
and she grew no larger. After a few minutes she heard a voice outside,3.948037453204803,4.8095236
and stopped to listen.,3.481714572986074,3.75
"Mary Ann! Mary Ann!"" said the voice. ""Fetch me my gloves this moment!",4.214209401158739,4.869565
Then came a little pattering of feet on the stairs. Alice knew it was,3.8858563799373638,4.857143
the Rabbit coming to look for her and she trembled till she shook the,3.8556580037064534,4.631579
"house, quite forgetting that she was now about a thousand times as large",3.8981904534890037,4.85
as the Rabbit and had no reason to be afraid of it.,3.604196522947362,4.0
Presently the Rabbit came up to the door and tried to open it; but as,3.8930482776267974,4.8095236
"the door opened inwards and Alice's elbow was pressed hard against it,",3.9615068415632337,4.7
"that attempt proved a failure. Alice heard it say to itself, ""Then I'll,4.159603106178658,5.076923
go 'round and get in at the window.""",3.7278098080841553,4.1875
"""_That_ you won't!"" thought Alice; and after waiting till she fancied",4.288237190742263,4.96
"she heard the Rabbit just under the window, she suddenly spread out her",3.9061206267794835,4.7
"hand and made a snatch in the air. She did not get hold of anything,",3.764080255914058,4.85
"but she heard a little shriek and a fall and a crash of broken glass,",3.834236371972545,4.5789475
from which she concluded that it was just possible it had fallen into a,3.976244080851178,4.75
cucumber-frame or something of that sort.,3.9643955295262856,4.2777777
"Next came an angry voice--the Rabbit's--""Pat! Pat! Where are you?"" And",4.420116369281483,5.2413793
There was a long silence after this and Alice could only hear whispers,3.9955937821408045,4.6666665
"now and then, and at last she spread out her hand again and made another",3.616310971194608,4.7222223
snatch in the air. This time there were _two_ little shrieks and more,3.826797059190265,4.736842
"sounds of broken glass. ""I wonder what they'll do next!"" thought Alice.",4.353441608795184,5.0
She waited for some time without hearing anything more. At last came a,4.001401454079951,4.818182
rumbling of little cart-wheels and the sound of a good many voices all,4.107525253049655,4.8636365
Alice drew her foot as far down the chimney as she could and waited till,3.9206448372353586,4.631579
she heard a little animal scratching and scrambling about in the chimney,3.8898294216719647,4.5555553
close above her; then she gave one sharp kick and waited to see what,3.863943719696883,4.65
would happen next.,3.725480556997868,3.9285715
"The first thing she heard was a general chorus of ""There goes Bill!""",3.9879311358016865,4.8095236
"silence and then another confusion of voices--""Hold up his head--Brandy,4.1503774437553655,4.7272725
now--Don't choke him--What happened to you?""",4.152978358288115,4.7727275
"After a minute or two of silence, they began moving about again, and",4.065065143122812,4.869565
"""A barrowful of _what_?"" thought Alice. But she had not long to doubt,",4.222969668427479,5.08
for the next moment a shower of little pebbles came rattling in at the,3.8123699259385413,4.736842
"window and some of them hit her in the face. Alice noticed, with some",3.8554235470372205,4.5789475
"surprise, that the pebbles were all turning into little cakes as they",3.886609547050754,4.85
So she swallowed one of the cakes and was delighted to find that she,3.7341066399423166,4.4117646
began shrinking directly. As soon as she was small enough to get through,4.04514862169604,4.818182
"the door, she ran out of the house and found quite a crowd of little",3.773608886454542,4.5555553
animals and birds waiting outside. They all made a rush at Alice the,4.004393128136448,4.909091
"moment she appeared, but she ran off as hard as she could and soon found",3.795373309337388,4.5
herself safe in a thick wood.,3.8798938235206664,4.2941175
"[Illustration: ""The Duchess tucked her arm affectionately into,4.285405633249321,4.875
Alice's.""]",3.321928094887362,3.4
"Alice looked all around her at the flowers and the blades of grass, but",3.964658686047054,4.714286
she could not see anything that looked like the right thing to eat or,3.7089485391207413,4.529412
drink under the circumstances. There was a large mushroom growing near,4.023936461697898,4.7
"her, about the same height as herself. She stretched herself up on",3.861338603281824,4.9545455
tiptoe and peeped over the edge and her eyes immediately met those of a,3.658929644048631,4.6666665
"large blue caterpillar, that was sitting on the top, with its arms",3.8859490314960556,4.5789475
"folded, quietly smoking a long hookah and taking not the smallest notice",3.9848119291896014,4.7
of her or of anything else.,3.676390632579627,4.133333
[Illustration],3.521640636343319,3.75
V--ADVICE FROM A CATERPILLAR,3.7534343861887853,4.133333
At last the Caterpillar took the hookah out of its mouth and addressed,3.823008867894031,4.7894735
"Alice in a languid, sleepy voice.",3.881832665522081,4.388889
"""Who are _you_?"" said the Caterpillar.",4.113206053476119,4.55
[Illustration],3.521640636343319,3.75
"What do you mean by that?"" said the Caterpillar, sternly. ""Explain,4.261464333434121,5.04
yourself!",3.321928094887362,3.4
"""Why?"" said the Caterpillar.",3.9677201004744993,4.2941175
As Alice could not think of any good reason and the Caterpillar seemed,4.048357975191422,4.909091
"to be in a _very_ unpleasant state of mind, she turned away.",4.056099491196831,5.0
"""Come back!"" the Caterpillar called after her. ""I've something important,4.295856209679966,5.0384617
to say!"" Alice turned and came back again.",4.072652614083033,4.909091
"""Is that all?"" said Alice, swallowing down her anger as well as she",3.9212146098202427,4.75
could.,2.5849625007211565,2.6666667
"It unfolded its arms, took the hookah out of its mouth again, and said,",3.874653622306728,4.6842103
"""What size do you want to be?"" asked the Caterpillar.",4.178616040630091,5.0833335
"""It is a very good height indeed!"" said the Caterpillar angrily, rearing",4.022134317706742,4.7619047
itself upright as it spoke (it was exactly three inches high).,4.055441884372496,5.0869565
"In a minute or two, the Caterpillar got down off the mushroom and",3.9963588211559777,4.7619047
